"","strain","cond","time","mean_mumax","sd_mumax","rsq_mean","mean_lag","sd_lag","well","rsq_x","row","column","media","edge","rep","y0","y0_lm","mumax","lag"
"61","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"A3",0.994339838804748,"A",3,"succ",1,"a",0.012,0.00799356178997805,0.216334756370034,1.87797011993879
"62","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"A6",0.9902309757341,"A",6,"succ",1,"a",0.015,0.00473666985234309,0.255038606866653,4.51977012134337
"63","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"B3",0.990847894986349,"B",3,"succ",0,"b",0.025,0.00644990581917244,0.226641243470227,5.97777472053004
"64","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"B6",0.992214831527987,"B",6,"succ",0,"b",0.022,0.00487778051308217,0.248995145497092,6.04972497290154
"65","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"C3",0.997614664648913,"C",3,"succ",0,"c",0.016,0.00510004230815802,0.242344695596158,4.71782509625012
"66","kb","M",0,0.240810089714858,0.0160472517192544,0.993205687851796,4.81020522920354,1.57574810648089,"C6",0.993985921408681,"C",6,"succ",0,"c",0.019,0.00440796288448294,0.255506090488986,5.7181663442574
"67","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"A3",0.990838632946812,"A",3,"succ",1,"a",0.011,0.00110321717075639,0.231858899095696,9.91837997114529
"68","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"A6",0.993991321050261,"A",6,"succ",1,"a",0.013,0.000668417861607221,0.249175737026448,11.9104337868709
"69","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"B3",0.987873873971014,"B",3,"succ",0,"b",0.012,0.00101285201333385,0.23313962038391,10.6036739643425
"70","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"B6",0.990824066641071,"B",6,"succ",0,"b",0.012,0.000591607550492666,0.252653358009501,11.9128376479668
"71","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"C3",0.995614418735331,"C",3,"succ",0,"c",0.012,0.00062224310700044,0.246003448090347,12.0296324628646
"72","kb","M",5,0.245775697320811,0.0115739525412193,0.99196615676377,11.5402763863932,1.07540324836142,"C6",0.992654627238133,"C",6,"succ",0,"c",0.012,0.000413171287490605,0.261823121318963,12.8667004851689
"73","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"A3",0.990794657028849,"A",3,"succ",1,"a",0.012,0.000201469605546026,0.236365523207185,17.2911148134799
"74","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"A6",0.995638004583309,"A",6,"succ",1,"a",0.013,0.000168189704349481,0.243911227500615,17.8245673480996
"75","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"B3",0.995792888119093,"B",3,"succ",0,"b",0.011,0.000184370436227008,0.234212913442956,17.4572081340668
